"sentiment","n","date"
"anger",8050,2021-03-21
"anticipation",279,2021-03-21
"disgust",31,2021-03-21
"fear",81,2021-03-21
"joy",59,2021-03-21
"negative",159,2021-03-21
"positive",221,2021-03-21
"surprise",35,2021-03-21
"trust",74,2021-03-21
"anger",8220,2021-03-21
"anticipation",403,2021-03-21
"disgust",86,2021-03-21
"fear",117,2021-03-21
"joy",175,2021-03-21
"negative",276,2021-03-21
"positive",408,2021-03-21
"sadness",2,2021-03-21
"surprise",51,2021-03-21
"trust",105,2021-03-21
"anger",8633,2021-03-22
"anticipation",777,2021-03-22
"disgust",174,2021-03-22
"fear",217,2021-03-22
"joy",347,2021-03-22
"negative",473,2021-03-22
"positive",760,2021-03-22
"sadness",7,2021-03-22
"surprise",86,2021-03-22
"trust",181,2021-03-22
"anger",9235,2021-03-23
"anticipation",1371,2021-03-23
"disgust",269,2021-03-23
"fear",375,2021-03-23
"joy",548,2021-03-23
"negative",773,2021-03-23
"positive",1288,2021-03-23
"sadness",11,2021-03-23
"surprise",173,2021-03-23
"trust",285,2021-03-23
"anger",9878,2021-03-24
"anticipation",2182,2021-03-24
"disgust",377,2021-03-24
"fear",505,2021-03-24
"joy",746,2021-03-24
"negative",1206,2021-03-24
"positive",2016,2021-03-24
"sadness",18,2021-03-24
"surprise",268,2021-03-24
"trust",438,2021-03-24
"anger",10571,2021-03-25
"anticipation",2861,2021-03-25
"disgust",454,2021-03-25
"fear",639,2021-03-25
"joy",927,2021-03-25
"negative",1617,2021-03-25
"positive",2807,2021-03-25
"sadness",39,2021-03-25
"surprise",336,2021-03-25
"trust",525,2021-03-25
"anger",11377,2021-03-26
"anticipation",4008,2021-03-26
"disgust",576,2021-03-26
"fear",769,2021-03-26
"joy",1086,2021-03-26
"negative",2162,2021-03-26
"positive",3556,2021-03-26
"sadness",58,2021-03-26
"surprise",413,2021-03-26
"trust",627,2021-03-26
"anger",12519,2021-03-27
"anticipation",4682,2021-03-27
"disgust",706,2021-03-27
"fear",886,2021-03-27
"joy",1246,2021-03-27
"negative",2526,2021-03-27
"positive",4157,2021-03-27
"sadness",65,2021-03-27
"surprise",499,2021-03-27
"trust",723,2021-03-27
"anger",14288,2021-03-28
"anticipation",5114,2021-03-28
"disgust",741,2021-03-28
"fear",1169,2021-03-28
"joy",1346,2021-03-28
"negative",2747,2021-03-28
"positive",4356,2021-03-28
"sadness",71,2021-03-28
"surprise",511,2021-03-28
"trust",860,2021-03-28
"anger",15548,2021-03-29
"anticipation",5661,2021-03-29
"disgust",819,2021-03-29
"fear",1337,2021-03-29
"joy",1516,2021-03-29
"negative",3057,2021-03-29
"positive",4864,2021-03-29
"sadness",79,2021-03-29
"surprise",547,2021-03-29
"trust",924,2021-03-29
"anger",16556,2021-03-30
"anticipation",6237,2021-03-30
"disgust",882,2021-03-30
"fear",1486,2021-03-30
"joy",1648,2021-03-30
"negative",3875,2021-03-30
"positive",5316,2021-03-30
"sadness",82,2021-03-30
"surprise",584,2021-03-30
"trust",1046,2021-03-30
"anger",16828,2021-03-31
"anticipation",6551,2021-03-31
"disgust",918,2021-03-31
"fear",1539,2021-03-31
"joy",1733,2021-03-31
"negative",4180,2021-03-31
"positive",5647,2021-03-31
"sadness",83,2021-03-31
"surprise",612,2021-03-31
"trust",1085,2021-03-31
"anger",16828,2021-04-01
"anticipation",6551,2021-04-01
"disgust",918,2021-04-01
"fear",1539,2021-04-01
"joy",1733,2021-04-01
"negative",4180,2021-04-01
"positive",5647,2021-04-01
"sadness",83,2021-04-01
"surprise",612,2021-04-01
"trust",1085,2021-04-01
"anger",16828,2021-04-02
"anticipation",6551,2021-04-02
"disgust",918,2021-04-02
"fear",1539,2021-04-02
"joy",1733,2021-04-02
"negative",4180,2021-04-02
"positive",5647,2021-04-02
"sadness",83,2021-04-02
"surprise",612,2021-04-02
"trust",1085,2021-04-02
"anger",16828,2021-04-03
"anticipation",6551,2021-04-03
"disgust",918,2021-04-03
"fear",1539,2021-04-03
"joy",1733,2021-04-03
"negative",4180,2021-04-03
"positive",5647,2021-04-03
"sadness",83,2021-04-03
"surprise",612,2021-04-03
"trust",1085,2021-04-03
"anger",16828,2021-04-04
"anticipation",6551,2021-04-04
"disgust",918,2021-04-04
"fear",1539,2021-04-04
"joy",1733,2021-04-04
"negative",4180,2021-04-04
"positive",5647,2021-04-04
"sadness",83,2021-04-04
"surprise",612,2021-04-04
"trust",1085,2021-04-04
"anger",16828,2021-04-05
"anticipation",6551,2021-04-05
"disgust",918,2021-04-05
"fear",1539,2021-04-05
"joy",1733,2021-04-05
"negative",4180,2021-04-05
"positive",5647,2021-04-05
"sadness",83,2021-04-05
"surprise",612,2021-04-05
"trust",1085,2021-04-05
"anger",16828,2021-04-06
"anticipation",6551,2021-04-06
"disgust",918,2021-04-06
"fear",1539,2021-04-06
"joy",1733,2021-04-06
"negative",4180,2021-04-06
"positive",5647,2021-04-06
"sadness",83,2021-04-06
"surprise",612,2021-04-06
"trust",1085,2021-04-06
"anger",16828,2021-04-07
"anticipation",6551,2021-04-07
"disgust",918,2021-04-07
"fear",1539,2021-04-07
"joy",1733,2021-04-07
"negative",4180,2021-04-07
"positive",5647,2021-04-07
"sadness",83,2021-04-07
"surprise",612,2021-04-07
"trust",1085,2021-04-07
"anger",16828,2021-04-08
"anticipation",6551,2021-04-08
"disgust",918,2021-04-08
"fear",1539,2021-04-08
"joy",1733,2021-04-08
"negative",4180,2021-04-08
"positive",5647,2021-04-08
"sadness",83,2021-04-08
"surprise",612,2021-04-08
"trust",1085,2021-04-08
"anger",16828,2021-04-09
"anticipation",6551,2021-04-09
"disgust",918,2021-04-09
"fear",1539,2021-04-09
"joy",1733,2021-04-09
"negative",4180,2021-04-09
"positive",5647,2021-04-09
"sadness",83,2021-04-09
"surprise",612,2021-04-09
"trust",1085,2021-04-09
"anger",16828,2021-04-10
"anticipation",6551,2021-04-10
"disgust",918,2021-04-10
"fear",1539,2021-04-10
"joy",1733,2021-04-10
"negative",4180,2021-04-10
"positive",5647,2021-04-10
