"word","n","date"
"uber",8953,2021-03-21
"driver",8035,2021-03-21
"facing",7962,2021-03-21
"girl",7938,2021-03-21
"prison",7933,2021-03-21
"coughed",7931,2021-03-21
"jurgena",7929,2021-03-21
NA,3884,2021-03-21
"drivers",160,2021-03-21
"eats",122,2021-03-21
"ubersupport",70,2021-03-21
"uk",69,2021-03-21
"pay",66,2021-03-21
"wage",62,2021-03-21
"minimum",60,2021-03-21
"account",47,2021-03-21
"wanna",44,2021-03-21
"drive",43,2021-03-21
"dm",41,2021-03-21
"love",41,2021-03-21
"status",41,2021-03-21
"uber",9987,2021-03-21
"driver",8232,2021-03-21
"facing",7975,2021-03-21
"girl",7958,2021-03-21
"prison",7946,2021-03-21
"coughed",7945,2021-03-21
"jurgena",7942,2021-03-21
NA,6691,2021-03-21
"eats",290,2021-03-21
"drivers",203,2021-03-21
"ubersupport",162,2021-03-21
"dm",84,2021-03-21
"pay",75,2021-03-21
"uk",72,2021-03-21
"love",71,2021-03-21
"account",65,2021-03-21
"lyft",64,2021-03-21
"wage",62,2021-03-21
"drive",60,2021-03-21
"minimum",60,2021-03-21
