"value","n","date"
"@jurgena_:",7920,2021-03-21
"@uber_support",70,2021-03-21
"@uber",52,2021-03-21
"@bigbodybae:",34,2021-03-21
"@superliqued:",29,2021-03-21
"@david__osland:",23,2021-03-21
"@yourenottheguy:",23,2021-03-21
"@roopenshu:",19,2021-03-21
"@bbcnews:",14,2021-03-21
"@totalfratmove:",14,2021-03-21
"@danpriceseattle",10,2021-03-21
"@priyascifi:",10,2021-03-21
"@bevtyme:",9,2021-03-21
"@jurgena_",9,2021-03-21
"@ubereats",9,2021-03-21
"@tootlesthetaxi:",8,2021-03-21
"@gideonrachman:",7,2021-03-21
"@steve_garelick:",7,2021-03-21
"@bradderskn",6,2021-03-21
"@doordash",6,2021-03-21
"@rothwell_scott:",6,2021-03-21
"@zorzi_gaia",6,2021-03-21
"@jurgena_:",7933,2021-03-21
"@uber_support",160,2021-03-21
"@uber",117,2021-03-21
"@keepingupwhind:",39,2021-03-21
"@bigbodybae:",34,2021-03-21
"@decaturdane:",34,2021-03-21
"@superliqued:",29,2021-03-21
"@soupinhercan:",26,2021-03-21
"@iamsteveharvey:",24,2021-03-21
"@david__osland:",23,2021-03-21
"@yourenottheguy:",23,2021-03-21
"@quavostunting:",21,2021-03-21
"@roopenshu:",19,2021-03-21
"@hammyinmiami:",16,2021-03-21
"@brown4ngel:",15,2021-03-21
"@hesosteadee:",15,2021-03-21
"@sotspodcast:",15,2021-03-21
"@uber_anne",15,2021-03-21
"@ubereats",15,2021-03-21
"@bbcnews:",14,2021-03-21
"@totalfratmove:",14,2021-03-21
"@jurgena_:",7951,2021-03-22
"@brown4ngel:",7537,2021-03-22
"@uber_support",390,2021-03-22
"@uber",248,2021-03-22
"@decaturdane:",70,2021-03-22
"@quavostunting:",41,2021-03-22
"@uber_anne",40,2021-03-22
"@keepingupwhind:",39,2021-03-22
"@soupinhercan:",39,2021-03-22
"@lyft",35,2021-03-22
"@bigbodybae:",34,2021-03-22
"@sotspodcast:",30,2021-03-22
"@uber_india",30,2021-03-22
"@hesosteadee:",29,2021-03-22
"@iamsteveharvey:",29,2021-03-22
"@superliqued:",29,2021-03-22
"@ubereats",29,2021-03-22
"@hammyinmiami:",25,2021-03-22
"@david__osland:",24,2021-03-22
"@yourenottheguy:",23,2021-03-22
"@brown4ngel:",11225,2021-03-23
"@jurgena_:",7972,2021-03-23
"@uber_support",782,2021-03-23
"@uber",404,2021-03-23
"@decaturdane:",70,2021-03-23
"@uber_india",63,2021-03-23
"@ubereats",63,2021-03-23
"@joeingram1:",61,2021-03-23
"@soupinhercan:",59,2021-03-23
"@uber_anne",50,2021-03-23
"@lyft",49,2021-03-23
"@quavostunting:",41,2021-03-23
"@holycow_inc:",40,2021-03-23
"@keepingupwhind:",39,2021-03-23
"@bigbodybae:",34,2021-03-23
"@iamsteveharvey:",31,2021-03-23
"@sotspodcast:",30,2021-03-23
"@fillwerrell:",29,2021-03-23
"@hesosteadee:",29,2021-03-23
"@superliqued:",29,2021-03-23
"@brown4ngel:",11496,2021-03-24
"@jurgena_:",7992,2021-03-24
"@uber_support",1228,2021-03-24
"@uber",668,2021-03-24
"@holycow_inc:",130,2021-03-24
"@uber_anne",124,2021-03-24
"@ubereats",110,2021-03-24
"@uber_india",100,2021-03-24
"@decaturdane:",70,2021-03-24
"@joeingram1:",67,2021-03-24
"@soupinhercan:",64,2021-03-24
"@lyft",60,2021-03-24
"@uberinsupport",50,2021-03-24
"@quavostunting:",41,2021-03-24
"@keepingupwhind:",39,2021-03-24
"@olacabs",39,2021-03-24
"@bigbodybae:",34,2021-03-24
"@uber_secret",32,2021-03-24
"@fillwerrell:",31,2021-03-24
"@iamsteveharvey:",31,2021-03-24
"@brown4ngel:",11539,2021-03-25
"@jurgena_:",8008,2021-03-25
"@uber_support",1646,2021-03-25
"@uber",907,2021-03-25
"@uber_anne",159,2021-03-25
"@uber_india",150,2021-03-25
"@ubereats",143,2021-03-25
"@holycow_inc:",132,2021-03-25
"@thetommyk_:",106,2021-03-25
"@marioandretti:",99,2021-03-25
"@uberinsupport",90,2021-03-25
"@lyft",78,2021-03-25
"@decaturdane:",70,2021-03-25
"@joeingram1:",67,2021-03-25
"@soupinhercan:",65,2021-03-25
"@olacabs",58,2021-03-25
"@durtmchurtt:",53,2021-03-25
"@nypost:",52,2021-03-25
"@uber_secret",46,2021-03-25
"@quavostunting:",41,2021-03-25
