"tweets","retweets","users","date"
13000,10591,10536,2021-03-21
17000,12481,13831,2021-03-21
33000,23614,27799,2021-03-22
49000,31556,40450,2021-03-23
65000,36644,50616,2021-03-24
81000,42878,61221,2021-03-25
97000,48936,72091,2021-03-26
113000,57390,83790,2021-03-27
129000,70493,96373,2021-03-28
145000,82080,108755,2021-03-29
161000,91905,120337,2021-03-30
169000,96369,126077,2021-03-31
169000,96369,126077,2021-04-01
169000,96369,126077,2021-04-02
169000,96369,126077,2021-04-03
169000,96369,126077,2021-04-04
169000,96369,126077,2021-04-05
169000,96369,126077,2021-04-06
169000,96369,126077,2021-04-07
169000,96369,126077,2021-04-08
169000,96369,126077,2021-04-09
169000,96369,126077,2021-04-10
169000,96369,126077,2021-04-11
169000,96369,126077,2021-04-12
169000,96369,126077,2021-04-13
169000,96369,126077,2021-04-14
169000,96369,126077,2021-04-15
169000,96369,126077,2021-04-16
169000,96369,126077,2021-04-17
169000,96369,126077,2021-04-18
169000,96369,126077,2021-04-19
169000,96369,126077,2021-04-20
169000,96369,126077,2021-04-21
169000,96369,126077,2021-04-22
169000,96369,126077,2021-04-23
169000,96369,126077,2021-04-24
169000,96369,126077,2021-04-25
169000,96369,126077,2021-04-26
169000,96369,126077,2021-04-27
169000,96369,126077,2021-04-28
169000,96369,126077,2021-04-29
169000,96369,126077,2021-04-30
169000,96369,126077,2021-05-01
169000,96369,126077,2021-05-02
169000,96369,126077,2021-05-03
169000,96369,126077,2021-05-04
169000,96369,126077,2021-05-05
169000,96369,126077,2021-05-06
169000,96369,126077,2021-05-07
169000,96369,126077,2021-05-08
169000,96369,126077,2021-05-09
169000,96369,126077,2021-05-10
169000,96369,126077,2021-05-11
169000,96369,126077,2021-05-12
169000,96369,126077,2021-05-13
169000,96369,126077,2021-05-14
169000,96369,126077,2021-05-15
169000,96369,126077,2021-05-16
169000,96369,126077,2021-05-17
169000,96369,126077,2021-05-18
169000,96369,126077,2021-05-19
169000,96369,126077,2021-05-20
169000,96369,126077,2021-05-21
169000,96369,126077,2021-05-22
169000,96369,126077,2021-05-23
169000,96369,126077,2021-05-24
169000,96369,126077,2021-05-25
169000,96369,126077,2021-05-26
169000,96369,126077,2021-05-27
169000,96369,126077,2021-05-28
169000,96369,126077,2021-05-29
