"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @leo_man25: Two girls tried to steal the car of Muhammad Anwar, the Pakistani immigrant, while he was working on delivering food (Uber),…",FALSE,0,NA,2021-03-29 06:18:33,FALSE,NA,"1376418483471179777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zahirOmar_",122,TRUE,FALSE,NA,NA
"2","@stillgray then y'all come and ask why we fight for workers rights, if this was the UK or France this is a labor ac… https://t.co/ZsbMOoyc3B",FALSE,0,"stillgray",2021-03-29 06:18:31,TRUE,"1375889790768320512","1376418474747117569","16106584","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mimi_pense",0,FALSE,FALSE,NA,NA
"3","@Birssy86 Hi James, we are happy to help. Please follow our support page: https://t.co/z0HGtqjBCv so our Uber Eats… https://t.co/dtqRfCUCnX",FALSE,0,"Birssy86",2021-03-29 06:18:30,TRUE,"1376234266053505029","1376418471148457986","890162707978125313","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","Uber_Support",0,FALSE,FALSE,NA,NA
"4","RT @msdfansofficial: Here’s making your day uber cool!🥰

Picture Courtesy: @ChennaiIPL 
#Dhoni #IPL2021 #CSK @msdhoni https://t.co/qSbhKCKh…",FALSE,0,NA,2021-03-29 06:18:27,FALSE,NA,"1376418455667175425",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","imdeepak7781",186,TRUE,FALSE,NA,NA
"5","RT @gtconway3d: I'm amazed that the video of the carjacking and felony murder of the Uber Eats driver outside Nationals Park hasn't gotten…",FALSE,0,NA,2021-03-29 06:18:23,FALSE,NA,"1376418438772486148",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jesse_Solberg",2500,TRUE,FALSE,NA,NA
"6","I don’t beef with people when they from my own city cause the Uber would be cheaper if you rode it home with me 💯",FALSE,0,NA,2021-03-29 06:18:22,FALSE,NA,"1376418438093053955",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prettyfacetea",0,FALSE,FALSE,NA,NA
"7","RT @leo_man25: Two girls tried to steal the car of Muhammad Anwar, the Pakistani immigrant, while he was working on delivering food (Uber),…",FALSE,0,NA,2021-03-29 06:18:20,FALSE,NA,"1376418427376607234",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sofeasjarif",122,TRUE,FALSE,NA,NA
"8","RT @KhaledBeydoun: Muhammad Anwar,a 65 year old Pakistani Muslim immigrant and Uber Eats Driver, was carjacked and murdered by two teens in…",FALSE,0,NA,2021-03-29 06:18:19,FALSE,NA,"1376418423094210566",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jesse_Solberg",3896,TRUE,FALSE,NA,NA
"9","RT @mymixtapez: Muhammad Anwar, 65 year old Pakistani Muslim immigrant and Uber Eats Driver, was carjacked and murdered by two teenage girl…",FALSE,0,NA,2021-03-29 06:18:14,FALSE,NA,"1376418403913719808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaFlareFloyd",71,TRUE,FALSE,NA,NA
"10","RT @unscriptedmike: Two teenage black girls killed a Pakistani Uber Eats driver in DC. But at least the Capitol is well protected from noth…",FALSE,0,NA,2021-03-29 06:18:14,FALSE,NA,"1376418403653681152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","t_billymatatx",3903,TRUE,FALSE,NA,NA
